fastq	fastq_r2	subpool	sample	plate	lane	run	platform	droplets_included	learning_rate	expected_cells
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_9_S8_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_9_S8_L003_R2_001.fastq.gz	Subpool_UDI09	S8	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_9_S8_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_9_S8_L004_R2_001.fastq.gz	Subpool_UDI09	S8	igvf_013	L004	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_10_S9_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_10_S9_L001_R2_001.fastq.gz	Subpool_UDI10	S9	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_10_S9_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_10_S9_L002_R2_001.fastq.gz	Subpool_UDI10	S9	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_10_S9_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_10_S9_L003_R2_001.fastq.gz	Subpool_UDI10	S9	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_10_S9_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_10_S9_L004_R2_001.fastq.gz	Subpool_UDI10	S9	igvf_013	L004	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_11_S10_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_11_S10_L001_R2_001.fastq.gz	Subpool_UDI11	S10	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_11_S10_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_11_S10_L002_R2_001.fastq.gz	Subpool_UDI11	S10	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_11_S10_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_11_S10_L003_R2_001.fastq.gz	Subpool_UDI11	S10	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_11_S10_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_11_S10_L004_R2_001.fastq.gz	Subpool_UDI11	S10	igvf_013	L004	1	nova	200000	0.00005	67000
