Gene,Tissue,Celltype,Subtype,Reference
Fbln2,Kidney,Endothelial,Arterioles_arteries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Gja5,Kidney,Endothelial,Arterioles_arteries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Mgp,Kidney,Endothelial,Arterioles_arteries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Sox17,Kidney,Endothelial,Arterioles_arteries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpv4,Kidney,Endothelial,Arterioles_arteries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Clcnka,Kidney,Epithelial,Ascending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Epha7,Kidney,Epithelial,Ascending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Mx2,Kidney,Epithelial,Ascending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cldn10,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Enox1,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Foxq1,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Kcnj1,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Mt2,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ptger3,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc12a1,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc5a3,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Thsd4,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tmem207,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Umod,Kidney,Epithelial,Ascending_thick_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fxyd2,Kidney,Endothelial,Ascending_vasa_recta,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fxyd6,Kidney,Endothelial,Ascending_vasa_recta,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Igfbp7,Kidney,Endothelial,Ascending_vasa_recta,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd19,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd22,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd79a,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd79b,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ebf1,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fcmr,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fcrl1,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ly6d,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ms4a1,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Siglecg,Kidney,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd200r3,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Csrp3,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cyp11a1,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fcer1a,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hdc,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ifitm1,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Il4,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Il6,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Mcmpt8,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ms4a2,Kidney,Myeloid,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Edh3,Kidney,Endothelial,Capillary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Flt1,Kidney,Endothelial,Capillary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Kdr,Kidney,Endothelial,Capillary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lpl,Kidney,Endothelial,Capillary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Smad6,Kidney,Endothelial,Capillary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ccr7,Kidney,Lymphoid,CD4_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd3d,Kidney,Lymphoid,CD4_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Dapl1,Kidney,Lymphoid,CD4_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Il7r,Kidney,Lymphoid,CD4_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Klf2,Kidney,Lymphoid,CD4_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lef1,Kidney,Lymphoid,CD4_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ms4a4b,Kidney,Lymphoid,CD4_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Satb1,Kidney,Lymphoid,CD4_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tcf7,Kidney,Lymphoid,CD4_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ccl5,Kidney,Lymphoid,CD8_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd3d,Kidney,Lymphoid,CD8_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd3g,Kidney,Lymphoid,CD8_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd8a,Kidney,Lymphoid,CD8_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd8b1,Kidney,Lymphoid,CD8_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hcst,Kidney,Lymphoid,CD8_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lck,Kidney,Lymphoid,CD8_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ms4a4b,Kidney,Lymphoid,CD8_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nkg7,Kidney,Lymphoid,CD8_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp2b1,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Calb1,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Egf,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Kcne1,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Klk1,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
S100g,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Scnn1b,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Scnn1g,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc8a1,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpm6,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpv5,Kidney,Epithelial,Connecting_tubule,https://www.nature.com/articles/s41467-021-22266-1
Trpv5,Kidney,Epithelial,Connecting_tubule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Pvalb,Kidney,Epithelial,DCT,https://www.nature.com/articles/s41467-021-22266-1
Slc12a3,Kidney,Epithelial,DCT,https://www.nature.com/articles/s41467-021-22266-1
Atp1a1,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp1a2,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp1a3,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp1a4,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Calb1,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cnnm2,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Egf,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fxyd2,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Pvalb,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Sk39,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc8a1,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpm6,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpm7,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Wnk1,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Wnk4,Kidney,Epithelial,DCT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp1a1,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp1a2,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp1a3,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp1a4,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp2b1,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp2b4,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Calb1,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cnnm2,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Egf,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fxyd2,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Kcne1,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Klh3,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Klk1,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
S100g,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Scnn1b,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Scnn1g,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc12a3,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc8a1,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Stk39,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpm6,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpm6,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpm7,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpv5,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Wnk1,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Wnk4,Kidney,Epithelial,DCT2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Basp1,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cbfa2t3,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Irf8,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Naaa,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Plbd1,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ppm1m,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Rab7b,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Rnase6,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Sept3,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Wdfy3,Kidney,Myeloid,Dendritic_cell_11bneg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Alox5ap,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ccl6,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ccl9,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd209a,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd74,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ctss,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ifitm3,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Mgl2,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tyrobp,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Wfdc17,Kidney,Myeloid,Dendritic_cell_11bpos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Aqp1,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Bst1,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Bst1,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cald1,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cryab,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Epha7,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fst,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lypd2,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc14a2,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tshz2,Kidney,Epithelial,Descending_LOH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Aqp1,Kidney,Endothelial,Descending_vasa_recta,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
S100a4,Kidney,Endothelial,Descending_vasa_recta,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc14a1,Kidney,Endothelial,Descending_vasa_recta,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cdh5,Kidney,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Egfl7,Kidney,Endothelial,Endothelial,https://www.nature.com/articles/s41467-021-22266-1
Eln,Kidney,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nrp1,Kidney,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Bmx,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ehd3,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Emcn,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fbln2,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Flt1,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Kdr,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lpl,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Mapt,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Mgp,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Plat,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Smad6,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Trpv4,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tsapn7,Kidney,Endothelial,Glomerular_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp6v0d2,Kidney,Epithelial,Intercalated_cell,https://www.nature.com/articles/s41467-021-22266-1
Atp6v0d2,Kidney,Epithelial,Intercalated_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp6v1b1,Kidney,Epithelial,Intercalated_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp6v1g3,Kidney,Epithelial,Intercalated_cell,https://www.nature.com/articles/s41467-021-22266-1
Atp6v1g3,Kidney,Epithelial,Intercalated_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Foxi,Kidney,Epithelial,Intercalated_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Insr,Kidney,Epithelial,Intercalated_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tcfcp2l1,Kidney,Epithelial,Intercalated_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Akr1b7,Kidney,Smooth_muscle,Juxtaglomerular,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ren1,Kidney,Smooth_muscle,Juxtaglomerular,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Rgs5,Kidney,Smooth_muscle,Juxtaglomerular,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc12a1,Kidney,Epithelial,LOH,https://www.nature.com/articles/s41467-021-22266-1
Umod,Kidney,Epithelial,LOH,https://www.nature.com/articles/s41467-021-22266-1
Aif1,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Apoe,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
C1qa,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
C1qb,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
C1qc,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd74,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ctss,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fcer1g,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Itgam,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ms4a7,Kidney,Myeloid,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Avpr1a,Kidney,Epithelial,Macula_densa,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Enox1,Kidney,Epithelial,Macula_densa,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nos1,Kidney,Epithelial,Macula_densa,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Thsd4,Kidney,Epithelial,Macula_densa,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Art3,Kidney,Smooth_muscle,Mesangial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Des,Kidney,Smooth_muscle,Mesangial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fhl2,Kidney,Smooth_muscle,Mesangial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nt5e,Kidney,Smooth_muscle,Mesangial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Pdgfrb,Kidney,Smooth_muscle,Mesangial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Prkca,Kidney,Smooth_muscle,Mesangial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Serpine2,Kidney,Smooth_muscle,Mesangial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cited1,Kidney,Epithelial,Nephron_prog,https://www.nature.com/articles/s41467-021-22266-1
Uncx,Kidney,Epithelial,Nephron_prog,https://www.nature.com/articles/s41467-021-22266-1
Cebpb,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fcer1g,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hp,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ifitm3,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lst1,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lyz2,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Plac8,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
S100a8,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
S100a9,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tyrobp,Kidney,Myeloid,Neutrophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ccl5,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd7,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Gzma,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Il2rb,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Klrd1,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Klre1,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Klrk1,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ncr1,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nkg7,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Xcl1,Kidney,Lymphoid,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd3g,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ctsw,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cxcr6,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Gimap3,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Gimap4,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hcst,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ltb,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ly6c2,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nkg7,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tmsb10,Kidney,Lymphoid,NK_T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Adra1a,Kidney,Proximal_tubule,PCT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Akr1c21,Kidney,Proximal_tubule,PCT,https://www.nature.com/articles/s41467-021-22266-1
Slc34a1,Kidney,Proximal_tubule,PCT,https://www.nature.com/articles/s41467-021-22266-1
